date,department,total_beds,occupied_beds,occupancy_rate_pct
2023-01-01,Emergency,30,30,100.0
2023-01-01,Cardiology,40,21,52.5
2023-01-01,Orthopedics,35,30,85.7
2023-01-01,Neurology,30,17,56.7
2023-01-01,Oncology,45,27,60.0
2023-01-01,General Surgery,50,48,96.0
2023-01-01,Pediatrics,25,22,88.0
2023-01-01,ICU,20,10,50.0
2023-01-02,Emergency,30,19,63.3
2023-01-02,Cardiology,40,38,95.0
2023-01-02,Orthopedics,35,32,91.4
2023-01-02,Neurology,30,20,66.7
2023-01-02,Oncology,45,24,53.3
2023-01-02,General Surgery,50,25,50.0
2023-01-02,Pediatrics,25,23,92.0
2023-01-02,ICU,20,11,55.0
2023-01-03,Emergency,30,17,56.7
2023-01-03,Cardiology,40,25,62.5
2023-01-03,Orthopedics,35,22,62.9
2023-01-03,Neurology,30,25,83.3
2023-01-03,Oncology,45,24,53.3
2023-01-03,General Surgery,50,42,84.0
2023-01-03,Pediatrics,25,13,52.0
2023-01-03,ICU,20,15,75.0
2023-01-04,Emergency,30,29,96.7
2023-01-04,Cardiology,40,33,82.5
2023-01-04,Orthopedics,35,25,71.4
2023-01-04,Neurology,30,30,100.0
2023-01-04,Oncology,45,26,57.8
2023-01-04,General Surgery,50,50,100.0
2023-01-04,Pediatrics,25,17,68.0
2023-01-04,ICU,20,19,95.0
2023-01-05,Emergency,30,30,100.0
2023-01-05,Cardiology,40,27,67.5
2023-01-05,Orthopedics,35,26,74.3
2023-01-05,Neurology,30,20,66.7
2023-01-05,Oncology,45,30,66.7
2023-01-05,General Surgery,50,45,90.0
2023-01-05,Pediatrics,25,18,72.0
2023-01-05,ICU,20,17,85.0
2023-01-06,Emergency,30,30,100.0
2023-01-06,Cardiology,40,28,70.0
2023-01-06,Orthopedics,35,23,65.7
2023-01-06,Neurology,30,21,70.0
2023-01-06,Oncology,45,32,71.1
2023-01-06,General Surgery,50,44,88.0
2023-01-06,Pediatrics,25,15,60.0
2023-01-06,ICU,20,17,85.0
2023-01-07,Emergency,30,15,50.0
2023-01-07,Cardiology,40,24,60.0
2023-01-07,Orthopedics,35,21,60.0
2023-01-07,Neurology,30,18,60.0
2023-01-07,Oncology,45,31,68.9
2023-01-07,General Surgery,50,41,82.0
2023-01-07,Pediatrics,25,25,100.0
2023-01-07,ICU,20,14,70.0
2023-01-08,Emergency,30,15,50.0
2023-01-08,Cardiology,40,26,65.0
2023-01-08,Orthopedics,35,35,100.0
2023-01-08,Neurology,30,17,56.7
2023-01-08,Oncology,45,25,55.6
2023-01-08,General Surgery,50,42,84.0
2023-01-08,Pediatrics,25,23,92.0
2023-01-08,ICU,20,13,65.0
2023-01-09,Emergency,30,21,70.0
2023-01-09,Cardiology,40,23,57.5
2023-01-09,Orthopedics,35,17,48.6
2023-01-09,Neurology,30,17,56.7
2023-01-09,Oncology,45,25,55.6
2023-01-09,General Surgery,50,43,86.0
2023-01-09,Pediatrics,25,13,52.0
2023-01-09,ICU,20,17,85.0
2023-01-10,Emergency,30,28,93.3
2023-01-10,Cardiology,40,24,60.0
2023-01-10,Orthopedics,35,35,100.0
2023-01-10,Neurology,30,25,83.3
2023-01-10,Oncology,45,37,82.2
2023-01-10,General Surgery,50,49,98.0
2023-01-10,Pediatrics,25,18,72.0
2023-01-10,ICU,20,14,70.0
2023-01-11,Emergency,30,20,66.7
2023-01-11,Cardiology,40,29,72.5
2023-01-11,Orthopedics,35,17,48.6
2023-01-11,Neurology,30,19,63.3
2023-01-11,Oncology,45,40,88.9
2023-01-11,General Surgery,50,37,74.0
2023-01-11,Pediatrics,25,15,60.0
2023-01-11,ICU,20,19,95.0
